time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z
7456,-0.0134,0.0030,0.0004,-1.04,0.33,-65.06,0.010,0.385,-0.406,0.016,-0.3259,1.1860,0.0011,-0.0256,0.9997
7508,-0.0116,0.0080,0.0044,-1.07,0.36,-65.00,0.010,0.547,-0.256,0.002,-0.3253,1.1875,0.0013,-0.0224,1.0005
7559,-0.0169,-0.0015,0.0047,-1.00,0.31,-64.94,0.010,0.372,-0.348,0.067,-0.3246,1.1859,0.0010,-0.0221,1.0003
7610,-0.0139,0.0070,0.0047,-1.05,0.36,-64.88,0.010,0.281,-0.590,0.103,-0.3251,1.1864,0.0028,-0.0252,0.9986
7660,-0.0096,-0.0022,0.0048,-1.05,0.27,-64.82,0.009,0.583,-0.709,-0.426,-0.3249,1.1877,0.0025,-0.0256,0.9999
7712,-0.0125,0.0008,0.0048,-1.04,0.30,-64.76,0.009,0.229,-0.501,-0.097,-0.3258,1.1870,0.0019,-0.0237,0.9998
7763,-0.0116,0.0080,0.0049,-1.07,0.36,-64.70,0.009,0.195,-0.546,-0.073,-0.3256,1.1866,0.0011,-0.0241,0.9986
7815,-0.0165,0.0041,0.0044,-1.02,0.34,-64.64,0.009,0.160,-0.591,0.103,-0.3257,1.1873,0.0012,-0.0231,0.9986
7865,-0.0154,0.0017,0.0043,-1.02,0.33,-64.58,0.009,0.416,-0.382,-0.235,-0.3250,1.1867,0.0001,-0.0239,1.0004
7916,-0.0157,0.0054,0.0043,-1.03,0.36,-64.52,0.008,0.270,-0.471,-0.138,-0.3251,1.1864,-0.0004,-0.0233,0.9986
7967,-0.0112,0.0019,0.0045,-1.05,0.32,-64.46,0.008,0.203,-0.706,0.063,-0.3250,1.1877,0.0008,-0.0256,0.9976
8019,-0.0118,0.0003,0.0013,-1.04,0.31,-64.40,0.008,0.256,-0.311,-0.317,-0.3251,1.1869,0.0006,-0.0233,0.9984
8070,-0.0112,0.0074,0.0011,-1.07,0.36,-64.34,0.008,0.200,-0.396,0.134,-0.3250,1.1877,0.0008,-0.0221,0.9995
8120,-0.0118,0.0031,0.0012,-1.05,0.33,-64.28,0.008,0.412,-0.567,-0.014,-0.3251,1.1864,0.0024,-0.0233,1.0000
8171,-0.0113,0.0074,0.0011,-1.07,0.36,-64.22,0.008,0.117,-0.180,0.017,-0.3253,1.1859,0.0035,-0.0222,0.9976
8222,-0.0121,0.0004,0.0011,-1.04,0.31,-64.16,0.008,0.554,-0.267,-0.254,-0.3252,1.1857,0.0020,-0.0208,1.0009
8274,-0.0132,-0.0026,0.0010,-1.02,0.29,-64.09,0.008,0.241,-0.423,-0.020,-0.3259,1.1872,0.0023,-0.0227,1.0018
8324,-0.0125,-0.0033,-0.0011,-1.03,0.28,-64.03,0.008,0.391,-0.550,-0.345,-0.3257,1.1873,-0.0005,-0.0250,0.9999
8376,-0.0165,0.0052,-0.0011,-1.03,0.36,-63.97,0.008,0.467,-0.329,-0.277,-0.3254,1.1870,0.0002,-0.0237,0.9997
8427,-0.0151,0.0055,-0.0013,-1.04,0.36,-63.91,0.010,0.119,-0.675,0.071,-0.3248,1.1873,-0.0005,-0.0258,1.0005
8478,-0.0128,0.0039,-0.0011,-1.05,0.34,-63.85,0.010,0.506,-0.590,-0.410,-0.3252,1.1876,0.0005,-0.0240,0.9980
8530,-0.0097,0.0053,0.0025,-1.07,0.34,-63.79,0.010,0.282,-0.393,0.132,-0.3253,1.1877,0.0030,-0.0262,0.9992
8580,-0.0120,0.0069,0.0025,-1.06,0.36,-63.73,0.010,0.193,-0.500,-0.196,-0.3258,1.1867,0.0024,-0.0262,0.9992
8632,-0.0128,0.0072,0.0025,-1.06,0.36,-63.67,0.010,0.375,-0.727,0.048,-0.3251,1.1878,0.0028,-0.0239,1.0018
8682,-0.0156,0.0018,0.0026,-1.02,0.33,-63.61,0.011,0.427,-0.272,-0.412,-0.3244,1.1882,0.0028,-0.0238,1.0013
8733,-0.0118,0.0077,0.0025,-1.07,0.36,-63.55,0.011,0.243,-0.330,-0.070,-0.3250,1.1879,0.0025,-0.0218,1.0009
8784,-0.0079,0.0094,0.0024,-1.11,0.36,-63.50,0.011,0.144,-0.528,-0.215,-0.3254,1.1869,0.0018,-0.0236,1.0003
8835,-0.0113,0.0074,0.0063,-1.07,0.36,-63.44,0.011,0.270,-0.174,-0.108,-0.3257,1.1875,0.0020,-0.0211,1.0005
8886,-0.0139,0.0018,0.0065,-1.04,0.33,-63.38,0.011,0.291,-0.460,0.192,-0.3248,1.1861,0.0007,-0.0243,1.0006
8938,-0.0153,0.0049,0.0067,-1.04,0.36,-63.32,0.008,0.535,-0.451,-0.022,-0.3250,1.1874,-0.0005,-0.0229,1.0001
8988,-0.0098,-0.0030,0.0070,-1.05,0.28,-63.26,0.008,0.499,-0.458,0.045,-0.3254,1.1872,0.0025,-0.0241,1.0011
9040,-0.0110,0.0044,0.0019,-1.07,0.34,-63.20,0.008,0.300,-0.210,-0.127,-0.3253,1.1880,0.0003,-0.0268,1.0009
9092,-0.0129,0.0034,0.0019,-1.05,0.34,-63.14,0.008,0.203,-0.417,0.345,-0.3249,1.1872,-0.0003,-0.0247,1.0033
9143,-0.0125,0.0075,0.0020,-1.07,0.37,-63.08,0.008,0.378,-0.632,-0.224,-0.3247,1.1864,0.0002,-0.0225,1.0019
9195,-0.0105,0.0034,0.0022,-1.06,0.33,-63.02,0.009,0.405,-0.526,-0.155,-0.3274,1.1850,0.0023,-0.0237,1.0018
9246,-0.0095,-0.0013,0.0023,-1.05,0.29,-62.96,0.009,0.257,-0.247,0.024,-0.3268,1.1870,0.0047,-0.0233,1.0039
9297,-0.0242,-0.0084,0.0022,-0.93,0.30,-62.90,0.009,0.373,-0.614,0.127,-0.3253,1.1878,0.0017,-0.0233,1.0010
9349,-0.0204,0.0028,0.0018,-1.00,0.37,-62.84,0.009,0.239,-0.419,-0.068,-0.3262,1.1873,0.0007,-0.0242,0.9984
9400,-0.0120,0.0071,0.0022,-1.07,0.36,-62.78,0.009,0.614,-0.577,-0.406,-0.3261,1.1867,0.0012,-0.0257,0.9966
9451,-0.0170,0.0043,0.0024,-1.03,0.36,-62.72,0.014,0.217,-0.550,-0.070,-0.3258,1.1869,0.0005,-0.0238,0.9979
9502,-0.0162,0.0005,0.0029,-1.02,0.33,-62.66,0.014,0.375,-0.674,-0.162,-0.3248,1.1865,0.0015,-0.0233,1.0000
9553,-0.0140,0.0018,0.0129,-1.04,0.34,-62.61,0.014,0.536,-0.633,0.012,-0.3258,1.1865,0.0021,-0.0222,1.0026
9604,-0.0089,-0.0006,0.0129,-1.07,0.30,-62.55,0.014,0.150,-0.357,0.118,-0.3254,1.1879,0.0015,-0.0224,1.0009
9656,-0.0144,-0.0005,0.0125,-1.03,0.32,-62.49,0.014,0.497,-0.159,-0.298,-0.3253,1.1872,0.0000,-0.0235,0.9982
9706,-0.0120,0.0074,0.0124,-1.08,0.37,-62.43,0.010,0.359,-0.398,-0.040,-0.3252,1.1870,0.0009,-0.0246,0.9985
9758,-0.0114,0.0037,0.0125,-1.07,0.34,-62.37,0.010,0.371,-0.652,0.028,-0.3258,1.1865,0.0004,-0.0222,0.9994
9808,-0.0108,0.0026,0.0128,-1.07,0.33,-62.31,0.010,0.363,-0.755,-0.080,-0.3254,1.1879,-0.0006,-0.0244,1.0004
9859,-0.0143,-0.0004,0.0084,-1.03,0.32,-62.25,0.010,0.008,-0.297,0.180,-0.3260,1.1876,0.0018,-0.0245,0.9999
9910,-0.0119,0.0075,0.0083,-1.08,0.37,-62.19,0.010,0.006,-0.413,0.145,-0.3258,1.1877,0.0033,-0.0239,0.9990
9962,-0.0152,0.0058,0.0082,-1.05,0.37,-62.13,0.009,0.540,-0.407,0.106,-0.3264,1.1867,0.0017,-0.0257,0.9986
10013,-0.0139,0.0064,0.0082,-1.06,0.37,-62.07,0.009,0.422,-0.728,-0.036,-0.3262,1.1875,0.0024,-0.0230,0.9999
10065,-0.0175,0.0004,0.0025,-1.02,0.34,-62.01,0.009,0.242,-0.463,-0.009,-0.3260,1.1867,0.0000,-0.0241,0.9993
10117,-0.0158,0.0052,0.0025,-1.04,0.37,-61.95,0.009,0.314,-0.603,-0.008,-0.3262,1.1875,0.0005,-0.0230,1.0001
10167,-0.0145,0.0003,0.0025,-1.04,0.33,-61.90,0.009,0.320,-0.395,0.012,-0.3254,1.1878,-0.0009,-0.0219,1.0020
10218,-0.0157,0.0050,0.0023,-1.05,0.37,-61.84,0.008,0.289,-0.443,0.092,-0.3247,1.1865,-0.0002,-0.0215,1.0018
10269,-0.0109,0.0061,0.0024,-1.08,0.36,-61.78,0.008,0.270,-0.307,0.271,-0.3255,1.1879,0.0025,-0.0228,0.9993
10320,-0.0072,-0.0011,0.0026,-1.08,0.29,-61.72,0.008,0.425,-0.338,-0.119,-0.3266,1.1873,0.0033,-0.0222,0.9995
10371,-0.0118,0.0072,-0.0036,-1.08,0.37,-61.66,0.008,0.391,-0.365,-0.153,-0.3254,1.1876,0.0004,-0.0236,1.0009
10422,-0.0179,0.0040,-0.0034,-1.02,0.37,-61.60,0.008,0.247,-0.770,0.080,-0.3259,1.1873,0.0004,-0.0236,0.9991
10473,-0.0104,0.0054,-0.0030,-1.08,0.35,-61.54,0.008,0.291,-0.490,0.128,-0.3254,1.1864,0.0004,-0.0239,1.0013
10524,-0.0134,0.0036,-0.0031,-1.05,0.34,-61.48,0.008,0.808,-0.459,-0.464,-0.3258,1.1878,0.0001,-0.0234,1.0016
10576,-0.0105,-0.0015,-0.0063,-1.05,0.30,-61.42,0.008,0.148,-0.458,0.304,-0.3260,1.1876,0.0030,-0.0239,1.0010
10626,-0.0125,0.0068,-0.0063,-1.07,0.37,-61.37,0.008,0.346,-0.257,0.084,-0.3262,1.1876,0.0027,-0.0223,1.0015
10677,-0.0165,0.0019,-0.0063,-1.02,0.35,-61.31,0.008,0.107,-0.705,0.065,-0.3258,1.1878,0.0009,-0.0258,0.9993
10728,-0.0145,0.0057,-0.0061,-1.05,0.36,-61.25,0.011,0.272,-0.495,0.027,-0.3275,1.1870,-0.0004,-0.0242,1.0014
10780,-0.0124,0.0067,-0.0059,-1.07,0.36,-61.19,0.011,0.256,-0.457,-0.072,-0.3261,1.1858,0.0024,-0.0235,1.0022
10832,-0.0213,0.0015,-0.0058,-0.99,0.36,-61.13,0.011,0.491,-0.472,0.103,-0.3262,1.1877,0.0021,-0.0239,0.9999
10884,-0.0136,-0.0047,0.0001,-1.02,0.29,-61.07,0.011,0.295,-0.510,0.038,-0.3261,1.1878,0.0025,-0.0233,0.9986
10935,-0.0142,0.0057,0.0001,-1.05,0.36,-61.01,0.011,0.469,-0.251,-0.101,-0.3262,1.1879,0.0014,-0.0243,0.9973
10986,-0.0133,0.0062,0.0004,-1.06,0.36,-60.96,0.009,0.513,-0.585,-0.037,-0.3259,1.1873,0.0025,-0.0248,0.9971
11038,-0.0139,0.0062,0.0005,-1.06,0.37,-60.90,0.009,0.400,-0.452,0.133,-0.3262,1.1879,0.0008,-0.0230,0.9994
11089,-0.0121,0.0029,-0.0008,-1.06,0.34,-60.84,0.009,0.393,-0.587,-0.181,-0.3264,1.1879,0.0013,-0.0229,1.0010
11140,-0.0138,0.0059,-0.0011,-1.06,0.37,-60.78,0.009,0.326,-0.234,0.026,-0.3265,1.1880,0.0013,-0.0234,1.0009
11190,-0.0146,0.0059,-0.0013,-1.05,0.37,-60.73,0.009,0.373,-0.463,0.082,-0.3262,1.1873,0.0014,-0.0236,1.0015
11242,-0.0153,0.0060,-0.0016,-1.05,0.37,-60.67,0.009,0.361,-0.327,0.016,-0.3273,1.1856,0.0014,-0.0249,1.0017
11292,-0.0131,0.0025,-0.0014,-1.05,0.34,-60.61,0.009,0.402,-0.344,0.037,-0.3278,1.1864,0.0011,-0.0245,1.0012
11343,-0.0194,-0.0069,-0.0014,-0.97,0.30,-60.55,0.009,0.386,-0.443,-0.228,-0.3263,1.1872,0.0004,-0.0200,0.9992
11395,-0.0215,-0.0021,-0.0019,-0.97,0.34,-60.49,0.009,0.156,-0.505,-0.192,-0.3271,1.1876,-0.0014,-0.0243,0.9972
11446,-0.0134,0.0025,-0.0015,-1.05,0.34,-60.44,0.009,0.347,-0.518,-0.419,-0.3263,1.1881,0.0009,-0.0254,1.0020
11497,-0.0174,0.0044,-0.0013,-1.03,0.37,-60.38,0.011,0.173,-0.344,0.081,-0.3261,1.1882,0.0025,-0.0258,1.0017
11549,-0.0129,0.0068,-0.0012,-1.07,0.37,-60.33,0.011,0.213,-0.062,-0.046,-0.3263,1.1873,0.0013,-0.0239,0.9995
11600,-0.0116,0.0075,0.0025,-1.08,0.37,-60.27,0.011,0.354,-0.482,-0.121,-0.3263,1.1862,0.0004,-0.0214,0.9978
11650,-0.0132,0.0026,0.0024,-1.05,0.34,-60.21,0.011,0.525,-0.505,-0.107,-0.3261,1.1882,0.0013,-0.0220,0.9997
11701,-0.0129,-0.0030,0.0027,-1.03,0.30,-60.16,0.011,0.476,-0.438,0.196,-0.3259,1.1883,0.0010,-0.0234,1.0007
11752,-0.0120,0.0073,0.0029,-1.08,0.36,-60.10,0.008,0.299,-0.491,-0.225,-0.3261,1.1882,0.0015,-0.0238,1.0016
11804,-0.0109,0.0078,0.0028,-1.08,0.36,-60.04,0.008,0.471,-0.400,-0.103,-0.3268,1.1875,-0.0011,-0.0232,1.0017
11854,-0.0119,0.0071,0.0027,-1.07,0.36,-59.99,0.008,0.282,-0.353,-0.070,-0.3261,1.1874,-0.0005,-0.0226,1.0026
11905,-0.0154,0.0034,-0.0020,-1.03,0.35,-59.93,0.008,0.541,-0.680,-0.458,-0.3259,1.1870,-0.0006,-0.0222,1.0005
11957,-0.0121,0.0025,-0.0018,-1.05,0.33,-59.87,0.008,0.437,-0.406,-0.015,-0.3261,1.1882,0.0004,-0.0223,0.9991
12008,-0.0109,0.0004,-0.0016,-1.05,0.31,-59.82,0.008,0.157,-0.467,-0.193,-0.3261,1.1864,0.0025,-0.0212,0.9991
12058,-0.0120,0.0070,-0.0014,-1.07,0.36,-59.76,0.008,0.338,-0.371,-0.138,-0.3276,1.1863,-0.0002,-0.0224,0.9993
12110,-0.0119,-0.0025,-0.0034,-1.03,0.29,-59.70,0.008,0.465,-0.295,-0.175,-0.3257,1.1874,-0.0010,-0.0244,1.0008
12161,-0.0198,-0.0026,-0.0035,-0.98,0.32,-59.65,0.008,0.365,-0.341,-0.201,-0.3275,1.1874,0.0008,-0.0238,1.0005
12211,-0.0092,0.0037,-0.0032,-1.07,0.33,-59.59,0.008,0.502,-0.351,0.075,-0.3267,1.1878,0.0005,-0.0219,0.9994
12262,-0.0187,0.0035,-0.0034,-1.01,0.36,-59.53,0.007,0.358,-0.248,0.139,-0.3273,1.1875,-0.0009,-0.0216,1.0012
12313,-0.0143,0.0060,-0.0032,-1.05,0.36,-59.48,0.007,0.358,-0.584,0.123,-0.3270,1.1866,0.0003,-0.0236,1.0010
12364,-0.0175,0.0041,-0.0032,-1.02,0.36,-59.42,0.007,0.430,-0.579,-0.370,-0.3262,1.1882,0.0015,-0.0239,0.9993
12416,-0.0159,-0.0007,-0.0066,-1.01,0.32,-59.36,0.007,0.264,-0.634,0.009,-0.3275,1.1874,-0.0005,-0.0228,0.9998
12468,-0.0110,0.0079,-0.0066,-1.07,0.36,-59.31,0.007,0.400,-0.177,-0.005,-0.3266,1.1880,0.0003,-0.0228,1.0016
12519,-0.0181,0.0037,-0.0064,-1.01,0.35,-59.25,0.009,0.047,-0.210,0.104,-0.3260,1.1866,0.0015,-0.0264,1.0004
12569,-0.0130,0.0066,-0.0062,-1.05,0.35,-59.20,0.009,0.502,-0.765,-0.015,-0.3269,1.1860,0.0021,-0.0261,1.0008
12620,-0.0099,-0.0011,-0.0029,-1.04,0.29,-59.14,0.009,0.319,-0.413,-0.194,-0.3262,1.1882,0.0015,-0.0226,1.0029
12671,-0.0149,-0.0038,-0.0029,-1.00,0.29,-59.08,0.009,0.391,-0.400,-0.120,-0.3261,1.1875,0.0020,-0.0227,1.0006
12722,-0.0112,0.0082,-0.0026,-1.07,0.36,-59.03,0.009,0.380,-0.460,-0.020,-0.3260,1.1874,-0.0001,-0.0246,0.9987
12773,-0.0107,0.0042,-0.0025,-1.06,0.33,-58.97,0.009,0.316,-0.256,-0.252,-0.3269,1.1871,0.0002,-0.0228,0.9999
12824,-0.0103,0.0030,-0.0022,-1.06,0.32,-58.91,0.009,0.506,-0.800,0.216,-0.3261,1.1866,0.0008,-0.0232,1.0008
12876,-0.0148,0.0016,-0.0020,-1.02,0.33,-58.86,0.009,0.184,-0.333,0.202,-0.3268,1.1879,0.0027,-0.0227,1.0019
12927,-0.0103,-0.0012,0.0000,-1.04,0.29,-58.80,0.009,0.145,-0.391,-0.141,-0.3263,1.1882,0.0023,-0.0232,1.0006
12978,-0.0147,0.0059,-0.0001,-1.04,0.36,-58.75,0.009,0.392,-0.431,0.097,-0.3266,1.1875,0.0012,-0.0221,1.0006
13030,-0.0118,0.0076,0.0000,-1.07,0.36,-58.69,0.009,0.333,-0.399,-0.120,-0.3265,1.1881,0.0011,-0.0239,0.9992
13080,-0.0135,0.0037,0.0002,-1.04,0.34,-58.63,0.009,0.548,-0.288,-0.251,-0.3272,1.1877,0.0014,-0.0213,1.0005
13132,-0.0126,0.0067,0.0015,-1.06,0.36,-58.58,0.009,0.104,-0.503,-0.230,-0.3264,1.1882,0.0012,-0.0214,1.0006
13183,-0.0165,0.0042,0.0015,-1.02,0.36,-58.52,0.009,0.241,-0.707,-0.023,-0.3260,1.1877,0.0012,-0.0235,0.9994
13234,-0.0115,0.0070,0.0017,-1.06,0.35,-58.47,0.009,0.301,-0.730,0.211,-0.3264,1.1883,0.0014,-0.0221,1.0002
13285,-0.0098,0.0040,0.0017,-1.06,0.33,-58.41,0.011,0.199,-0.253,0.256,-0.3263,1.1881,0.0019,-0.0232,1.0004
13337,-0.0116,0.0069,0.0018,-1.06,0.35,-58.35,0.011,0.164,-0.182,0.007,-0.3268,1.1881,0.0024,-0.0234,1.0001
13389,-0.0110,0.0059,0.0019,-1.06,0.35,-58.30,0.011,0.325,-0.373,-0.021,-0.3269,1.1870,0.0010,-0.0238,0.9996
13441,-0.0135,0.0056,0.0066,-1.04,0.35,-58.24,0.011,0.198,-0.731,-0.001,-0.3268,1.1881,-0.0002,-0.0236,1.0009
13492,-0.0140,-0.0002,0.0067,-1.01,0.31,-58.18,0.011,0.461,-0.449,-0.128,-0.3269,1.1881,0.0010,-0.0255,1.0000
13542,-0.0134,0.0054,0.0068,-1.04,0.35,-58.13,0.011,0.309,-0.950,0.088,-0.3271,1.1875,0.0006,-0.0258,0.9997
13594,-0.0140,0.0054,0.0068,-1.04,0.36,-58.07,0.011,0.413,-0.302,-0.043,-0.3268,1.1872,-0.0004,-0.0236,0.9993
13644,-0.0148,0.0021,0.0089,-1.02,0.34,-58.02,0.011,0.285,-0.488,-0.010,-0.3270,1.1872,-0.0008,-0.0236,0.9996
13696,-0.0136,0.0002,0.0090,-1.02,0.32,-57.96,0.011,0.508,-0.411,0.278,-0.3278,1.1856,0.0008,-0.0244,1.0022
13746,-0.0145,0.0002,0.0090,-1.02,0.32,-57.91,0.011,0.306,-0.287,0.062,-0.3275,1.1880,0.0014,-0.0232,1.0014
13797,-0.0192,-0.0085,0.0089,-0.95,0.28,-57.85,0.009,0.219,-0.579,-0.067,-0.3269,1.1862,0.0007,-0.0240,0.9999
13848,-0.0170,0.0049,0.0091,-1.02,0.36,-57.79,0.009,0.258,-0.676,0.112,-0.3261,1.1867,0.0016,-0.0229,0.9986
13900,-0.0138,-0.0046,0.0094,-1.00,0.28,-57.74,0.009,0.446,-0.388,-0.159,0.0000,0.0000,0.0016,-0.0215,0.9999
13951,-0.0097,-0.0018,0.0052,-1.04,0.28,-57.69,0.009,0.602,-0.562,-0.318,0.0000,-0.0000,0.0022,-0.0226,1.0010
14001,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.009,0.144,-0.334,0.326,0.0000,-0.0001,0.0036,-0.0220,0.9993
14053,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.007,0.548,-0.324,-0.046,0.0003,-0.0003,0.0012,-0.0253,1.0004
14103,0.0014,-0.0082,-0.0002,0.03,0.00,-0.00,0.007,0.494,-0.403,0.242,0.0003,-0.0005,0.0011,-0.0240,1.0011
14155,0.0091,-0.0109,-0.0002,0.05,-0.08,-0.00,0.007,0.452,-0.351,-0.200,0.0001,-0.0005,0.0010,-0.0238,0.9994
14205,0.0092,-0.0184,-0.0001,0.11,-0.06,-0.00,0.007,0.450,-0.611,0.207,0.0002,-0.0006,0.0038,-0.0226,0.9979
14257,0.0024,-0.0137,-0.0000,0.02,0.07,-0.00,0.007,0.281,-0.404,0.052,0.0000,-0.0008,0.0006,-0.0225,0.9964
14308,0.0037,-0.0175,0.0001,0.00,0.05,-0.00,0.009,0.133,-0.649,0.257,0.0004,-0.0009,0.0015,-0.0268,0.9995
14360,-0.0006,-0.0164,0.0001,-0.03,0.15,-0.00,0.009,0.320,-0.520,-0.050,-0.0000,-0.0011,0.0021,-0.0238,1.0015
14410,0.0064,-0.0197,0.0001,-0.05,-0.02,-0.00,0.009,0.482,-0.394,-0.033,-0.0000,-0.0011,0.0021,-0.0224,1.0004
14461,-0.0015,-0.0220,0.0013,-0.04,0.20,-0.00,0.009,0.371,-0.574,0.132,0.0003,-0.0015,0.0007,-0.0229,0.9993
14512,-0.0016,-0.0210,0.0010,-0.13,0.20,-0.00,0.009,0.392,-0.394,0.195,-0.0001,-0.0012,0.0009,-0.0238,1.0003
14563,0.0033,-0.0250,0.0011,-0.08,0.07,-0.00,0.011,0.161,-0.637,0.311,0.0002,-0.0014,0.0020,-0.0213,1.0019
14614,-0.0022,-0.0199,0.0013,-0.27,0.23,-0.00,0.011,-0.032,-0.158,0.242,0.0006,-0.0011,0.0008,-0.0212,1.0002
14665,0.0013,-0.0218,0.0050,-0.27,0.13,-0.00,0.011,0.186,-0.556,-0.412,-0.0001,-0.0016,-0.0003,-0.0253,0.9998
14716,0.0064,-0.0162,0.0050,-0.46,-0.01,-0.00,0.011,0.468,-0.341,0.214,0.0005,-0.0015,-0.0003,-0.0254,0.9999
14767,-0.0034,-0.0218,0.0051,-0.35,0.26,-0.00,0.011,0.352,-0.691,-0.049,-0.0002,-0.0013,0.0029,-0.0236,1.0012
14818,0.0042,-0.0195,0.0054,-0.45,0.06,-0.00,0.008,0.316,-0.453,0.173,0.0012,-0.0014,0.0041,-0.0230,1.0016
14870,-0.0041,-0.0171,0.0055,-0.54,0.28,-0.00,0.008,0.421,-0.589,-0.016,0.0009,-0.0031,0.0016,-0.0251,1.0006
14921,0.0112,-0.0156,0.0056,-0.58,-0.13,-0.01,0.008,0.050,-0.466,0.095,-0.0003,-0.0002,-0.0002,-0.0256,0.9977
14972,0.0065,-0.0326,0.0017,-0.17,0.00,-0.01,0.008,0.387,-0.313,-0.178,0.0011,-0.0014,0.0018,-0.0235,1.0005
15022,-0.0057,-0.0029,0.0027,-0.99,0.32,-0.00,0.008,0.442,-0.509,-0.289,0.0013,-0.0033,0.0015,-0.0224,1.0009
15073,0.0079,-0.0145,0.0031,-0.70,-0.02,-0.00,0.010,0.191,-0.806,0.270,0.0013,-0.0020,0.0027,-0.0249,1.0028
15124,0.0093,-0.0316,0.0029,-0.31,-0.05,-0.00,0.010,0.500,-0.211,-0.327,0.0004,-0.0020,0.0023,-0.0248,0.9986
15175,0.0085,-0.0190,0.0051,-0.66,-0.02,-0.00,0.010,0.432,-0.656,0.046,-0.0005,-0.0016,-0.0002,-0.0246,0.9981
15226,-0.0001,-0.0184,0.0051,-0.70,0.19,-0.01,0.010,0.347,-0.453,-0.351,0.0004,-0.0016,0.0005,-0.0250,0.9989
15277,-0.0079,-0.0139,0.0051,-0.82,0.37,-0.00,0.010,0.283,-0.188,-0.168,-0.0005,-0.0027,0.0008,-0.0227,1.0010
15329,-0.0001,-0.0135,0.0055,-0.84,0.19,-0.01,0.009,0.444,-0.690,-0.176,0.0006,-0.0031,0.0003,-0.0251,0.9990
15381,-0.0078,-0.0227,0.0055,-0.66,0.36,-0.01,0.009,0.497,-0.590,-0.004,0.0006,-0.0022,0.0026,-0.0229,0.9968
15433,0.0018,-0.0256,0.0055,-0.62,0.15,-0.01,0.009,0.204,-0.140,-0.162,0.0001,-0.0020,0.0028,-0.0223,0.9996
15484,0.0013,-0.0171,0.0031,-0.82,0.16,-0.01,0.009,0.323,-0.485,-0.138,-0.0006,-0.0010,0.0026,-0.0232,1.0002
15536,-0.0028,-0.0147,0.0031,-0.89,0.24,-0.01,0.009,0.480,-0.552,0.429,0.0004,-0.0017,0.0012,-0.0243,0.9994
15588,-0.0084,-0.0068,0.0031,-1.06,0.35,-0.01,0.013,0.430,-0.527,-0.213,-0.0006,-0.0015,0.0008,-0.0243,1.0010
15639,-0.0008,-0.0123,0.0031,-0.96,0.20,-0.01,0.013,0.421,-0.379,-0.226,-0.0006,-0.0010,-0.0012,-0.0215,1.0022
15691,-0.0083,-0.0100,0.0106,-1.01,0.34,-0.01,0.013,0.346,-0.546,-0.155,0.0004,-0.0017,-0.0011,-0.0233,1.0004
15742,-0.0079,-0.0060,0.0106,-1.08,0.34,-0.01,0.013,0.236,-0.551,-0.071,0.0004,-0.0018,-0.0006,-0.0240,0.9975
15794,-0.0005,-0.0112,0.0107,-0.99,0.20,-0.01,0.013,0.242,-0.574,-0.140,0.0011,-0.0029,0.0004,-0.0236,0.9987
15845,-0.0007,-0.0119,0.0107,-0.99,0.20,-0.01,0.009,0.183,-0.596,0.069,0.0014,-0.0023,0.0014,-0.0229,1.0004
15897,0.0046,-0.0189,0.0108,-0.87,0.11,-0.01,0.009,0.599,-0.263,-0.131,0.0008,-0.0012,0.0029,-0.0230,1.0019
15948,0.0057,-0.0141,0.0111,-0.96,0.09,-0.01,0.009,0.348,-0.257,0.183,0.0011,-0.0025,0.0017,-0.0216,0.9996
15999,0.0013,-0.0062,0.0045,-1.10,0.17,-0.01,0.009,0.327,-0.438,-0.130,-0.0008,-0.0004,0.0023,-0.0241,1.0005
16050,0.0026,-0.0151,0.0044,-0.96,0.15,-0.01,0.009,0.236,-0.302,0.102,-0.0002,-0.0017,0.0018,-0.0267,0.9980
16101,-0.0101,-0.0004,0.0044,-1.20,0.35,-0.01,0.009,0.267,-0.459,-0.016,-0.0008,-0.0014,0.0000,-0.0274,0.9985
16153,-0.0062,-0.0093,0.0048,-1.06,0.29,-0.01,0.009,0.210,-0.346,0.104,0.0011,-0.0027,0.0017,-0.0252,1.0011
