time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y
8,-0.0216,0.0038,0.0086,-0.68,-0.47,-37.44,0.009,-0.091,0.237,-0.067,0.7573,1.0891
8,-0.0244,0.0001,0.0089,-0.65,-0.47,-37.41,0.009,-0.174,0.175,0.129,0.7558,1.0883
8,-0.0298,-0.0086,0.0089,-0.57,-0.48,-37.37,0.009,0.076,-0.073,0.028,0.7570,1.0880
8,-0.0449,-0.0278,0.0049,-0.39,-0.48,-37.33,0.009,-0.104,0.270,-0.080,0.7566,1.0877
8,-0.0508,-0.0312,0.0046,-0.34,-0.47,-37.30,0.007,-0.122,0.279,-0.197,0.7564,1.0905
8,-0.0424,-0.0315,0.0056,-0.39,-0.52,-37.26,0.007,-0.112,0.062,-0.134,0.7592,1.0927
8,-0.0429,-0.0320,0.0057,-0.39,-0.52,-37.22,0.007,-0.057,0.249,-0.300,0.7623,1.0975
8,-0.0419,-0.0158,-0.0004,-0.50,-0.45,-37.18,0.007,-0.178,-0.074,0.038,0.7624,1.0977
8,-0.0248,-0.0035,0.0007,-0.66,-0.51,-37.15,0.007,-0.136,0.438,-0.077,0.7624,1.0979
8,-0.0071,0.0224,0.0009,-0.91,-0.49,-37.11,0.007,0.002,0.239,-0.026,0.7618,1.0971
8,-0.0058,0.0223,0.0010,-0.91,-0.51,-37.08,0.012,-0.207,0.062,0.117,0.7624,1.0966
8,-0.0055,0.0225,0.0010,-0.91,-0.51,-37.04,0.012,-0.079,0.294,-0.101,0.7622,1.0967
8,-0.0078,0.0174,0.0014,-0.87,-0.52,-37.00,0.012,0.161,0.197,-0.047,0.7625,1.0974
8,-0.0044,0.0141,0.0079,-0.86,-0.56,-36.97,0.012,-0.231,0.152,0.167,0.7627,1.0969
8,-0.0048,0.0141,0.0080,-0.86,-0.56,-36.93,0.009,-0.230,0.143,0.040,0.7623,1.0967
8,-0.0032,0.0172,0.0081,-0.89,-0.56,-36.89,0.009,-0.035,0.026,0.100,0.7629,1.0982
8,-0.0018,0.0141,0.0082,-0.87,-0.59,-36.86,0.009,0.058,0.528,-0.011,0.7619,1.0969
8,-0.0038,0.0123,0.0045,-0.85,-0.58,-36.82,0.009,-0.116,-0.160,-0.100,0.7629,1.0982
8,-0.0003,0.0197,0.0045,-0.91,-0.57,-36.78,0.009,-0.064,0.103,0.215,0.7626,1.0978
8,-0.0050,0.0119,0.0049,-0.83,-0.58,-36.75,0.009,0.121,0.199,-0.078,0.7628,1.0988
