t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,a_res_x,a_res_y,a_res_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,rnn_pred_x,rnn_pred_y,rnn_pred_z,rnn_clamped,ctrltarget_x,ctrltarget_y,ctrltarget_z,motor_m1,motor_m2,motor_m3,motor_m4,e_r_x,e_r_y,e_r_z,e_r_norm
-0.0086,-0.004142,-0.191773,0.974924,-0.007674,0.018221,-0.005955,-0.178035,0.323833,-0.148980,1.129361,-1.693692,2.108558,0.007911,-0.007526,0.992891,0.058892,-0.079681,-0.502632,0.000000,0.000000,0.000000,-2.288051,12.238331,1.314618,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37747.000000,38294.000000,40115.000000,38779.000000,-0.047631,-0.026868,-0.002986,0.054768
-0.0067,-0.004069,-0.191890,0.974964,-0.007406,0.017791,-0.005784,-0.178035,0.323833,-0.148980,2.702691,-1.193516,1.321107,0.007412,-0.005849,0.992104,0.071942,-0.076914,-0.503944,0.000000,0.000000,0.000000,10.632347,9.807314,-4.926041,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37625.000000,38509.000000,39859.000000,38921.000000,-0.047238,-0.026654,-0.002978,0.054321
-0.0047,-0.004069,-0.191890,0.974964,-0.007406,0.017791,-0.005784,-0.178035,0.323833,-0.148980,3.775522,-1.703816,0.358796,0.008846,-0.005074,0.997767,0.078799,-0.070815,-0.568947,0.000000,0.000000,0.000000,11.237166,-3.573505,-8.592262,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37411.000000,38785.000000,39621.000000,39099.000000,-0.047226,-0.026676,-0.002978,0.054321
-0.0027,-0.004146,-0.191710,0.974904,-0.007957,0.018096,-0.006223,-0.157572,0.349401,-0.133162,4.819371,-3.256152,-0.710950,0.009151,-0.004103,0.998800,0.082987,-0.060861,-0.584887,0.000000,0.000000,0.000000,10.575748,-12.395174,-9.626685,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37162.000000,39108.000000,39444.000000,39250.000000,-0.047475,-0.027390,-0.002700,0.054876
-0.0008,-0.004146,-0.191710,0.974904,-0.007957,0.018096,-0.006223,-0.157572,0.349401,-0.133162,3.340411,-3.844899,-1.228758,0.008234,-0.002546,0.995619,0.088347,-0.050392,-0.549863,0.000000,0.000000,0.000000,-7.646553,-7.678929,-5.738747,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,36971.000000,39203.000000,39386.000000,39397.000000,-0.047449,-0.027424,-0.002700,0.054870
0.0015,-0.004146,-0.191710,0.974904,-0.007957,0.018096,-0.006223,-0.157572,0.349401,-0.133162,1.419484,-4.866281,-1.180594,0.006718,-0.003191,0.998147,0.089308,-0.039135,-0.544111,0.000000,0.000000,0.000000,-17.822962,-7.587082,-0.942858,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,36889.000000,39166.000000,39486.000000,39412.000000,-0.047447,-0.027489,-0.002702,0.054902
0.0032,-0.003557,-0.191859,0.974953,-0.005780,0.017546,-0.006006,-0.153849,0.334542,-0.133200,1.503775,-5.255664,-0.878678,0.004824,-0.004385,0.998322,0.082009,-0.031830,-0.555353,0.000000,0.000000,0.000000,-6.629579,-4.686340,3.056047,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37000.000000,39069.000000,39515.000000,39343.000000,-0.046848,-0.025074,-0.002652,0.053202
0.0052,-0.003557,-0.191859,0.974953,-0.005780,0.017546,-0.006006,-0.153849,0.334542,-0.133200,3.018711,-4.902115,-0.583570,0.001284,-0.007742,0.998433,0.067237,-0.034534,-0.514855,0.000000,0.000000,0.000000,14.424417,-0.163712,2.365724,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37134.000000,39033.000000,39526.000000,39242.000000,-0.046810,-0.024918,-0.002648,0.053095
0.0071,-0.003617,-0.191683,0.974892,-0.006350,0.017810,-0.006219,-0.125100,0.377604,-0.141976,3.723406,-4.074077,-0.576249,0.000457,-0.009937,0.996098,0.044102,-0.050381,-0.476656,0.000000,0.000000,0.000000,8.123695,9.996272,1.055247,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37168.000000,39059.000000,39490.000000,39256.000000,-0.046883,-0.025588,-0.002781,0.053484
0.0091,-0.003617,-0.191683,0.974892,-0.006350,0.017810,-0.006219,-0.125100,0.377604,-0.141976,3.124231,-5.117736,-0.548039,-0.000061,-0.008072,0.996040,0.021118,-0.074207,-0.488416,0.000000,0.000000,0.000000,-2.323553,-6.731555,-0.103116,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37129.000000,39062.000000,39541.000000,39239.000000,-0.046831,-0.025314,-0.002774,0.053307
