run_id,rms_total,rms_roll,rms_pitch,rms_yaw,q_pos,q_vel,q_att,r_height,r_flow,plot
147,1.7431,2.1033,1.5118,1.5511,1e-06,0.001,1e-05,0.001,0.5,run_0147.png
148,1.619,1.8456,1.4286,1.5543,1e-06,0.001,1e-05,0.001,2.0,run_0148.png
149,1.5609,1.7604,1.3856,1.5135,1e-06,0.001,1e-05,0.001,8.0,run_0149.png
150,1.8784,2.3383,1.637,1.5615,1e-06,0.001,1e-05,0.01,0.5,run_0150.png
151,1.6406,1.8892,1.4427,1.557,1e-06,0.001,1e-05,0.01,2.0,run_0151.png
152,1.5622,1.764,1.3837,1.515,1e-06,0.001,1e-05,0.01,8.0,run_0152.png
153,4.4693,4.4461,3.902,4.9931,1e-06,0.001,0.0001,0.0001,0.5,run_0153.png
154,3.2407,3.7713,3.1672,2.693,1e-06,0.001,0.0001,0.0001,2.0,run_0154.png
155,2.8909,3.4881,2.8295,2.2135,1e-06,0.001,0.0001,0.0001,8.0,run_0155.png
156,4.524,4.5321,3.942,5.0318,1e-06,0.001,0.0001,0.001,0.5,run_0156.png
157,3.2546,3.7632,3.1586,2.7637,1e-06,0.001,0.0001,0.001,2.0,run_0157.png
158,2.8746,3.4544,2.8043,2.2345,1e-06,0.001,0.0001,0.001,8.0,run_0158.png
159,4.7069,5.1208,4.2559,4.7041,1e-06,0.001,0.0001,0.01,0.5,run_0159.png
160,3.3195,3.871,3.2115,2.7853,1e-06,0.001,0.0001,0.01,2.0,run_0160.png
161,2.8902,3.4547,2.802,2.2965,1e-06,0.001,0.0001,0.01,8.0,run_0161.png
162,4.1127,3.516,2.5082,5.6647,1e-05,1e-05,1e-06,0.0001,0.5,run_0162.png
163,2.7067,2.987,2.0834,2.9524,1e-05,1e-05,1e-06,0.0001,2.0,run_0163.png
164,2.3537,2.3706,1.7234,2.8337,1e-05,1e-05,1e-06,0.0001,8.0,run_0164.png
165,4.1295,3.5194,2.5182,5.6949,1e-05,1e-05,1e-06,0.001,0.5,run_0165.png
166,2.703,2.9793,2.0865,2.9477,1e-05,1e-05,1e-06,0.001,2.0,run_0166.png
167,2.3444,2.363,1.7216,2.8179,1e-05,1e-05,1e-06,0.001,8.0,run_0167.png
168,4.446,3.5349,2.5598,6.3445,1e-05,1e-05,1e-06,0.01,0.5,run_0168.png
169,2.6417,2.9368,2.1037,2.8081,1e-05,1e-05,1e-06,0.01,2.0,run_0169.png
170,2.2922,2.3415,1.7282,2.7006,1e-05,1e-05,1e-06,0.01,8.0,run_0170.png
171,5.8488,5.0763,4.2032,7.6936,1e-05,1e-05,1e-05,0.0001,0.5,run_0171.png
172,5.1292,4.4871,3.5448,6.7989,1e-05,1e-05,1e-05,0.0001,2.0,run_0172.png
173,2.9514,3.8957,2.8751,1.6399,1e-05,1e-05,1e-05,0.0001,8.0,run_0173.png
174,5.9243,5.1055,4.2084,7.8432,1e-05,1e-05,1e-05,0.001,0.5,run_0174.png
175,5.0805,4.4796,3.5394,6.6962,1e-05,1e-05,1e-05,0.001,2.0,run_0175.png
176,2.9244,3.8601,2.8528,1.6179,1e-05,1e-05,1e-05,0.001,8.0,run_0176.png
177,6.3144,5.3641,4.3289,8.4914,1e-05,1e-05,1e-05,0.01,0.5,run_0177.png
178,4.9889,4.5267,3.5585,6.4431,1e-05,1e-05,1e-05,0.01,2.0,run_0178.png
179,2.8929,3.837,2.8341,1.5335,1e-05,1e-05,1e-05,0.01,8.0,run_0179.png
180,7.1728,7.013,6.3258,8.0714,1e-05,1e-05,0.0001,0.0001,0.5,run_0180.png
181,5.5676,5.8847,5.0893,5.6977,1e-05,1e-05,0.0001,0.0001,2.0,run_0181.png
182,5.6913,5.418,4.4545,6.9264,1e-05,1e-05,0.0001,0.0001,8.0,run_0182.png
183,7.1921,7.069,6.3462,8.0583,1e-05,1e-05,0.0001,0.001,0.5,run_0183.png
184,5.5365,5.8741,5.0869,5.6193,1e-05,1e-05,0.0001,0.001,2.0,run_0184.png
185,5.6199,5.3118,4.3811,6.8806,1e-05,1e-05,0.0001,0.001,8.0,run_0185.png
186,7.3201,7.5579,6.6168,7.7361,1e-05,1e-05,0.0001,0.01,0.5,run_0186.png
187,5.5087,6.0305,5.1706,5.2854,1e-05,1e-05,0.0001,0.01,2.0,run_0187.png
188,5.6026,5.277,4.3379,6.8924,1e-05,1e-05,0.0001,0.01,8.0,run_0188.png
189,1.8068,1.9308,1.5459,1.9172,1e-05,0.0001,1e-06,0.0001,0.5,run_0189.png
190,1.6363,1.802,1.4533,1.635,1e-05,0.0001,1e-06,0.0001,2.0,run_0190.png
191,1.505,1.6847,1.3771,1.4355,1e-05,0.0001,1e-06,0.0001,8.0,run_0191.png
192,1.8094,1.9417,1.5468,1.9129,1e-05,0.0001,1e-06,0.001,0.5,run_0192.png
193,1.6372,1.802,1.4528,1.638,1e-05,0.0001,1e-06,0.001,2.0,run_0193.png
194,1.5043,1.6832,1.3767,1.4355,1e-05,0.0001,1e-06,0.001,8.0,run_0194.png
195,1.8448,2.0487,1.5755,1.8791,1e-05,0.0001,1e-06,0.01,0.5,run_0195.png
196,1.6512,1.8057,1.4568,1.6725,1e-05,0.0001,1e-06,0.01,2.0,run_0196.png
197,1.5076,1.6761,1.3772,1.4534,1e-05,0.0001,1e-06,0.01,8.0,run_0197.png
198,3.1317,3.6409,2.9256,2.7582,1e-05,0.0001,1e-05,0.0001,0.5,run_0198.png
199,2.8135,3.372,2.6284,2.3383,1e-05,0.0001,1e-05,0.0001,2.0,run_0199.png
200,2.349,3.0865,2.3268,1.2699,1e-05,0.0001,1e-05,0.0001,8.0,run_0200.png
201,3.153,3.6737,2.937,2.7752,1e-05,0.0001,1e-05,0.001,0.5,run_0201.png
