cf5_A8_12-11-46.a_hat_x,cf5_A8_12-11-46.a_hat_y,cf5_A8_12-11-46.a_hat_z,cf5_A8_12-11-46.a_res_x,cf5_A8_12-11-46.a_res_y,cf5_A8_12-11-46.a_res_z,cf5_A8_12-11-46.e_r_x,cf5_A8_12-11-46.e_r_y,cf5_A8_12-11-46.e_r_z,cf5_A8_12-11-46.pos_des_x,cf5_A8_12-11-46.pos_des_y,cf5_A8_12-11-46.pos_des_z,cf5_A8_12-11-46.pos_x,cf5_A8_12-11-46.pos_y,cf5_A8_12-11-46.pos_z,cf5_A8_12-11-46.t,cf_second_A8_12-11-46.a_hat_x,cf_second_A8_12-11-46.a_hat_y,cf_second_A8_12-11-46.a_hat_z,cf_second_A8_12-11-46.a_res_x,cf_second_A8_12-11-46.a_res_y,cf_second_A8_12-11-46.a_res_z,cf_second_A8_12-11-46.e_r_x,cf_second_A8_12-11-46.e_r_y,cf_second_A8_12-11-46.e_r_z,cf_second_A8_12-11-46.pos_des_x,cf_second_A8_12-11-46.pos_des_y,cf_second_A8_12-11-46.pos_des_z,cf_second_A8_12-11-46.pos_x,cf_second_A8_12-11-46.pos_y,cf_second_A8_12-11-46.pos_z,cf_second_A8_12-11-46.t
0.000000,0.000000,0.000000,-0.134782,-0.465815,-0.325034,-0.000568,0.041301,-0.024428,-0.000000,0.570729,1.000000,-0.028751,0.562317,0.957178,5.752000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.018562,1.250000,-0.005546,0.064962,1.116885,5.752000
0.000000,0.000000,0.000000,-0.146164,-0.477495,-0.302856,-0.003544,0.036662,-0.023458,-0.000000,0.570729,1.000000,-0.027556,0.566109,0.957751,5.754000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.018562,1.250000,-0.005546,0.064962,1.116885,5.754000
0.000000,0.000000,0.000000,-0.164532,-0.488442,-0.252788,-0.000343,0.036826,-0.023492,-0.000000,0.570729,1.000000,-0.027556,0.566109,0.957751,5.756000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.018562,1.250000,-0.005546,0.064962,1.116885,5.756000
0.000000,0.000000,0.000000,-0.188118,-0.488853,-0.225492,0.003827,0.035956,-0.023511,-0.000000,0.570729,1.000000,-0.027814,0.565910,0.957615,5.758000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.016726,1.250000,-0.005697,0.065307,1.116923,5.758000
0.000000,0.000000,0.000000,-0.209093,-0.481876,-0.226433,0.012254,0.034052,-0.023547,-0.000000,0.571773,1.000000,-0.028297,0.565539,0.957361,5.760000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.015738,1.250000,-0.005538,0.063152,1.116902,5.760000
0.000000,0.000000,0.000000,-0.221702,-0.482640,-0.218186,0.017998,0.031747,-0.023111,-0.000000,0.573622,1.000000,-0.027666,0.567478,0.957645,5.762000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.015738,1.250000,-0.005413,0.061929,1.116879,5.762000
0.000000,0.000000,0.000000,-0.225763,-0.489612,-0.207505,0.014847,0.027612,-0.022232,-0.000000,0.573622,1.000000,-0.026552,0.570901,0.958147,5.764000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.015738,1.250000,-0.005413,0.061929,1.116879,5.764000
0.000000,0.000000,0.000000,-0.222633,-0.490340,-0.220650,0.019101,0.026317,-0.022281,-0.000000,0.573622,1.000000,-0.026838,0.570723,0.958117,5.766000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.015738,1.250000,-0.005606,0.062281,1.116919,5.766000
0.000000,0.000000,0.000000,-0.217336,-0.485156,-0.247112,0.023630,0.024302,-0.022315,-0.000000,0.573622,1.000000,-0.027295,0.570438,0.958069,5.768000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.013847,1.250000,-0.005714,0.062477,1.116942,5.768000
0.000000,0.000000,0.000000,-0.213142,-0.480711,-0.270347,0.030022,0.024043,-0.022417,-0.000000,0.574591,1.000000,-0.027295,0.570438,0.958069,5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.012933,1.250000,-0.005456,0.059947,1.116899,5.770000
