time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,gyro_x,gyro_y,gyro_z
4.099,-0.14755889773368835,-0.25112369656562805,0.8916069865226746,-0.7269026041030884,-0.8150700926780701,0.005755471996963024,-5.751512050628662,3.8073811531066895,-0.2830626666545868,-0.00044802145566791296,-6.298397541046143,10.145313262939453,1.2376446723937988
4.152,-0.18289236724376678,-0.2869910001754761,0.8941265940666199,-0.7521501779556274,-0.75688636302948,-0.011406553909182549,-6.730883598327637,4.053523540496826,-0.13126933574676514,-0.0002530272176954895,-14.461795806884766,1.22086501121521,0.8660014867782593
4.199,-0.20984604954719543,-0.3101103901863098,0.8881819248199463,-0.7788450717926025,-0.7033705115318298,-0.007436512038111687,-7.612431526184082,4.2849225997924805,-0.06004577875137329,0.00010046326497104019,-21.020206451416016,-7.8944315910339355,0.9677253365516663
4.249,-0.2539953887462616,-0.331490695476532,0.8885883688926697,-0.7975451946258545,-0.6266840100288391,-0.04253457114100456,-7.786194801330566,3.963254690170288,0.00040508853271603584,-0.00025544597883708775,-7.212043762207031,3.9531381130218506,2.446964979171753
4.299,-0.28362712264060974,-0.34549570083618164,0.8896635174751282,-0.837209165096283,-0.547146201133728,-0.02968478947877884,-8.172252655029297,3.6606943607330322,0.03438960015773773,-0.00017925319843925536,-2.6843745708465576,7.015279293060303,1.5245131254196167
4.351,-0.3141380548477173,-0.3600727319717407,0.8870078325271606,-0.8518986105918884,-0.46323439478874207,-0.012902499176561832,-8.683473587036133,3.5220377445220947,0.04486057162284851,-0.00020235472766216844,-11.082682609558105,2.6183338165283203,-0.23370718955993652
4.399,-0.35470253229141235,-0.36848896741867065,0.8847855925559998,-0.8656116127967834,-0.3806093633174896,-0.020877154543995857,-8.606849670410156,3.3265867233276367,0.012243656441569328,-0.0001333260297542438,1.5798494815826416,-0.3213690519332886,-0.6558763980865479
4.448,-0.3898502290248871,-0.37078729271888733,0.8848632574081421,-0.891144335269928,-0.29287827014923096,-0.02441907301545143,-8.637662887573242,2.906917095184326,-0.035073503851890564,-0.000204336698516272,0.9756150841712952,7.553229331970215,-0.03796243295073509
4.501,-0.43190711736679077,-0.3737299144268036,0.8826157450675964,-0.9044687747955322,-0.20365369319915771,-0.012434398755431175,-9.012211799621582,2.666290283203125,-0.029104318469762802,-0.00015159080794546753,-6.648179531097412,5.1198320388793945,1.2410744428634644
4.548,-0.4622569680213928,-0.3713359832763672,0.8786038756370544,-0.9240294098854065,-0.11858851462602615,-0.013534406200051308,-8.866371154785156,1.8891589641571045,-0.10400320589542389,2.3167580366134644e-05,1.165574073791504,8.2816162109375,-1.2410163879394531
4.600,-0.5113709568977356,-0.36217638850212097,0.8716593384742737,-0.9230701923370361,-0.02956347167491913,-0.024200817570090294,-8.678797721862793,0.5938786864280701,-0.27999329566955566,-0.0006471877568401396,8.479759216308594,27.224332809448242,1.0996747016906738
