t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,yaw_dot,yaw_ddot,thrust,tx,ty,tz,ox,oy,oz,odx,ody,odz
0.045000,0.000002,0.000001,1.000000,0.000238,0.000092,0.000024,0.020634,0.008015,0.002063,1.314512,0.511736,0.131451,0.000000,0.000053,0.004633,0.264926,-0.000342,0.000874,0.000021,-0.511625,1.314234,0.001127,-20.635424,52.744995,0.720112
0.046000,0.000002,0.000001,1.000000,0.000260,0.000101,0.000026,0.021976,0.008537,0.002198,1.368039,0.532682,0.136804,0.000001,0.000058,0.004934,0.264930,-0.000347,0.000887,0.000023,-0.532559,1.367730,0.001248,-20.956059,53.546371,0.779920
0.047000,0.000003,0.000001,1.000000,0.000282,0.000110,0.000028,0.023371,0.009080,0.002337,1.422391,0.553958,0.142239,0.000001,0.000063,0.005248,0.264934,-0.000352,0.000900,0.000025,-0.553823,1.422050,0.001379,-21.270782,54.331993,0.843090
0.048000,0.000003,0.000001,1.000000,0.000306,0.000119,0.000031,0.024821,0.009645,0.002482,1.477554,0.575560,0.147755,0.000001,0.000069,0.005574,0.264938,-0.000358,0.000913,0.000027,-0.575410,1.477177,0.001521,-21.579596,55.101894,0.909718
0.049000,0.000003,0.000001,1.000000,0.000332,0.000129,0.000033,0.026326,0.010232,0.002633,1.533516,0.597481,0.153352,0.000001,0.000074,0.005913,0.264942,-0.000363,0.000926,0.000029,-0.597316,1.533100,0.001673,-21.882496,55.856087,0.979899
0.050000,0.000004,0.000001,1.000000,0.000359,0.000139,0.000036,0.027888,0.010840,0.002789,1.590260,0.619718,0.159026,0.000001,0.000081,0.006264,0.264947,-0.000368,0.000938,0.000031,-0.619536,1.589803,0.001837,-22.179478,56.594563,1.053725
0.051000,0.000004,0.000002,1.000000,0.000388,0.000151,0.000039,0.029507,0.011471,0.002951,1.647775,0.642265,0.164778,0.000001,0.000087,0.006629,0.264951,-0.000372,0.000950,0.000033,-0.642065,1.647274,0.002013,-22.470547,57.317360,1.131288
0.052000,0.000004,0.000002,1.000000,0.000418,0.000162,0.000042,0.031184,0.012125,0.003118,1.706046,0.665116,0.170605,0.000001,0.000094,0.007006,0.264956,-0.000377,0.000962,0.000035,-0.664897,1.705498,0.002201,-22.755697,58.024494,1.212680
0.053000,0.000005,0.000002,1.000001,0.000450,0.000175,0.000045,0.032919,0.012801,0.003292,1.765061,0.688267,0.176506,0.000001,0.000101,0.007397,0.264961,-0.000382,0.000973,0.000038,-0.688027,1.764461,0.002403,-23.034925,58.715946,1.297990
0.054000,0.000005,0.000002,1.000000,0.000484,0.000188,0.000048,0.034714,0.013501,0.003471,1.824805,0.711713,0.182481,0.000001,0.000109,0.007801,0.264966,-0.000386,0.000984,0.000041,-0.711451,1.824150,0.002618,-23.308226,59.391747,1.387307
0.055000,0.000006,0.000002,1.000000,0.000520,0.000202,0.000052,0.036569,0.014225,0.003657,1.885265,0.735449,0.188527,0.000001,0.000117,0.008219,0.264971,-0.000391,0.000995,0.000043,-0.735163,1.884552,0.002848,-23.575598,60.051888,1.480719
0.056000,0.000006,0.000002,1.000001,0.000557,0.000216,0.000056,0.038485,0.014972,0.003848,1.946428,0.759470,0.194643,0.000001,0.000125,0.008651,0.264976,-0.000395,0.001006,0.000046,-0.759159,1.945653,0.003093,-23.837030,60.696396,1.578311
0.057000,0.000007,0.000003,1.000001,0.000597,0.000232,0.000060,0.040462,0.015744,0.004046,2.008281,0.783771,0.200828,0.000002,0.000134,0.009096,0.264982,-0.000399,0.001016,0.000049,-0.783433,2.007440,0.003354,-24.092529,61.325268,1.680171
0.058000,0.000008,0.000003,1.000001,0.000638,0.000248,0.000064,0.042502,0.016540,0.004250,2.070810,0.808347,0.207081,0.000002,0.000143,0.009556,0.264988,-0.000403,0.001026,0.000052,-0.807980,2.069898,0.003632,-24.342079,61.938515,1.786378
0.059000,0.000008,0.000003,1.000001,0.000682,0.000265,0.000068,0.044604,0.017361,0.004460,2.134003,0.833194,0.213400,0.000002,0.000153,0.010030,0.264994,-0.000407,0.001036,0.000056,-0.832795,2.133016,0.003926,-24.585670,62.536129,1.897017
0.060000,0.000009,0.000003,1.000001,0.000727,0.000283,0.000073,0.046770,0.018206,0.004677,2.197846,0.858306,0.219785,0.000002,0.000163,0.010518,0.265000,-0.000411,0.001046,0.000059,-0.857874,2.196779,0.004238,-24.823311,63.118141,2.012165
0.061000,0.000010,0.000004,1.000001,0.000775,0.000301,0.000078,0.049000,0.019077,0.004900,2.262328,0.883678,0.226233,0.000002,0.000174,0.011021,0.265006,-0.000415,0.001055,0.000062,-0.883212,2.261176,0.004569,-25.054974,63.684532,2.131905
0.062000,0.000010,0.000004,1.000001,0.000825,0.000321,0.000083,0.051295,0.019974,0.005129,2.327433,0.909306,0.232743,0.000002,0.000185,0.011538,0.265013,-0.000419,0.001065,0.000066,-0.908803,2.326192,0.004919,-25.280672,64.235321,2.256309
0.063000,0.000011,0.000004,1.000001,0.000878,0.000341,0.000088,0.053655,0.020896,0.005366,2.393151,0.935186,0.239315,0.000003,0.000197,0.012070,0.265019,-0.000422,0.001073,0.000070,-0.934643,2.391815,0.005289,-25.500376,64.770508,2.385456
0.064000,0.000012,0.000005,1.000001,0.000933,0.000363,0.000093,0.056081,0.021844,0.005608,2.459468,0.961312,0.245947,0.000003,0.000210,0.012618,0.265026,-0.000426,0.001082,0.000074,-0.960727,2.458031,0.005680,-25.714087,65.290070,2.519418
0.065000,0.000013,0.000005,1.000001,0.000990,0.000385,0.000099,0.058574,0.022819,0.005857,2.526371,0.987680,0.252637,0.000003,0.000222,0.013180,0.265034,-0.000429,0.001090,0.000078,-0.987050,2.524828,0.006092,-25.921795,65.794067,2.658267
0.066000,0.000014,0.000006,1.000001,0.001050,0.000408,0.000105,0.061134,0.023820,0.006113,2.593848,1.014284,0.259385,0.000003,0.000236,0.013758,0.265041,-0.000433,0.001098,0.000082,-1.013607,2.592193,0.006526,-26.123484,66.282433,2.802069
