time,roll_rad,pitch_rad,yaw_rad,x,y,z
0.145719007,-0.040813852,-0.000281529,-0.025713118,-0.008351,0.032686,1.079270
0.146711007,-0.040565796,-0.000207634,-0.025717944,-0.008430,0.033082,1.079242
0.147741005,-0.040319096,-0.000128791,-0.025722064,-0.008512,0.033493,1.079213
0.148683995,-0.040062025,-0.000043190,-0.025725178,-0.008587,0.033870,1.079187
0.149674997,-0.039822403,0.000040023,-0.025727520,-0.008665,0.034267,1.079159
0.150667995,-0.039564312,0.000132728,-0.025730291,-0.008744,0.034664,1.079130
0.151659995,-0.039300762,0.000229891,-0.025733918,-0.008823,0.035062,1.079102
0.152696997,-0.039033964,0.000332607,-0.025739091,-0.008905,0.035478,1.079072
0.153648004,-0.038751431,0.000444846,-0.025746295,-0.008980,0.035860,1.079045
0.154641002,-0.036311168,0.001627131,-0.025753450,-0.008476,0.035008,1.079169
0.155625999,-0.036035269,0.001733826,-0.025761921,-0.008542,0.035377,1.079144
0.156614006,-0.035760153,0.001840661,-0.025771167,-0.008608,0.035749,1.079119
0.157654002,-0.035484862,0.001949391,-0.025780957,-0.008677,0.036140,1.079092
0.158601001,-0.035198003,0.002066978,-0.025790982,-0.008741,0.036496,1.079068
0.159587994,-0.034939438,0.002177591,-0.025798680,-0.008807,0.036869,1.079043
0.160577998,-0.034671780,0.002292742,-0.025803406,-0.008873,0.037242,1.079018
0.161569998,-0.034404609,0.002404845,-0.025804240,-0.008939,0.037617,1.078992
0.162607998,-0.034137607,0.002514353,-0.025802867,-0.009008,0.038010,1.078965
0.163555995,-0.033859052,0.002626249,-0.025801174,-0.009071,0.038369,1.078941
0.164552003,-0.034459721,0.000913436,-0.025806069,-0.010189,0.039270,1.078856
0.165537998,-0.034195900,0.001022096,-0.025806602,-0.010275,0.039655,1.078829
0.166529000,-0.033934727,0.001133159,-0.025809633,-0.010362,0.040043,1.078801
0.167563006,-0.033670168,0.001246552,-0.025816077,-0.010453,0.040448,1.078772
0.168514997,-0.033389088,0.001367391,-0.025826611,-0.010536,0.040821,1.078746
0.169502005,-0.033122867,0.001480403,-0.025838707,-0.010622,0.041208,1.078718
0.170491993,-0.032838091,0.001596517,-0.025851760,-0.010709,0.041597,1.078691
0.171483994,-0.032360166,0.001711491,-0.025863970,-0.010791,0.042057,1.080155
0.172518998,-0.032058068,0.001831761,-0.025877256,-0.010881,0.042465,1.080141
0.173464999,-0.031737622,0.001960630,-0.025891844,-0.010963,0.042838,1.080128
0.174458995,-0.031442508,0.002081966,-0.025905304,-0.011049,0.043230,1.080115
0.175449997,-0.031131199,0.002213914,-0.025919063,-0.011135,0.043622,1.080101
0.176448002,-0.030820688,0.002345701,-0.025931954,-0.011221,0.044016,1.080088
0.177484006,-0.030509807,0.002474576,-0.025943713,-0.011310,0.044426,1.080073
0.178417996,-0.030189354,0.002604663,-0.025954388,-0.011391,0.044796,1.080061
0.179408997,-0.029901713,0.002717672,-0.025962107,-0.011476,0.045189,1.080047
0.180406004,-0.029598325,0.002831418,-0.025967874,-0.011561,0.045585,1.080034
0.181392998,-0.029294558,0.002942225,-0.025972037,-0.011646,0.045976,1.080020
0.182435006,-0.028993417,0.003050933,-0.025976559,-0.011735,0.046390,1.080006
0.183377996,-0.028674806,0.003165511,-0.025983719,-0.011816,0.046765,1.079993
0.184370995,-0.021693723,0.002745661,-0.025998812,-0.012343,0.042745,1.080311
0.185359001,-0.021387083,0.002865901,-0.026010569,-0.012436,0.043056,1.080303
0.186350003,-0.021078369,0.002992148,-0.026023779,-0.012529,0.043368,1.080295
0.187389001,-0.020765645,0.003124040,-0.026036810,-0.012627,0.043694,1.080287
0.188329995,-0.020433592,0.003266180,-0.026048660,-0.012716,0.043991,1.080279
0.189320996,-0.020128701,0.003393886,-0.026057065,-0.012809,0.044303,1.080272
0.190318003,-0.019804908,0.003522484,-0.026063047,-0.012902,0.044617,1.080264
0.191309005,-0.019475956,0.003642794,-0.026065931,-0.012995,0.044930,1.080256
0.192351997,-0.019144399,0.003749448,-0.026066205,-0.013093,0.045259,1.080247
0.193289995,-0.018792953,0.003846307,-0.026065148,-0.013180,0.045555,1.080240
0.194286004,-0.022088954,0.004891394,-0.026048718,-0.012621,0.048189,1.080132
0.195278004,-0.021752076,0.004967200,-0.026050564,-0.012701,0.048548,1.080122
0.196262002,-0.021417646,0.005041188,-0.026054958,-0.012780,0.048904,1.080112
0.197301999,-0.021088345,0.005117702,-0.026061233,-0.012863,0.049280,1.080101
