t_unix,rpm_m1,rpm_m2,rpm_m3,rpm_m4,motor_m1,marker
1784735108.0853925,18159,17118,17793,17371,33207,0.0
1784735108.0954626,18126,17123,17793,17361,33028,0.0
1784735108.1051073,18126,17108,17814,17381,32844,0.0
1784735108.1157095,18077,17113,17777,17376,32660,0.0
1784735108.1255949,18012,17094,17804,17346,32476,0.0
1784735108.135565,17964,17089,17788,17361,32295,0.0
1784735108.145421,17910,17059,17751,17361,32119,0.0
1784735108.1551955,17878,17045,17725,17361,31950,0.0
1784735108.165683,17841,17040,17740,17351,31791,0.0
1784735108.1754858,17788,17055,17725,17361,31643,0.0
1784735108.1851134,17735,17050,17704,17376,31509,0.0
1784735108.195091,17751,17069,17704,17391,31390,0.0
1784735108.205527,17688,17098,17720,17376,31287,0.0
1784735108.21524,17657,17089,17714,17391,31203,0.0
1784735108.2252398,17610,17108,17709,17381,31138,0.0
1784735108.2357235,17595,17103,17678,17326,31093,0.0
1784735108.2454216,17564,17103,17657,17321,31069,0.0
1784735108.2556958,17513,17108,17704,17316,31066,0.0
1784735108.2654943,17487,17137,17683,17301,31084,0.0
1784735108.2752352,17452,17167,17699,17296,31124,0.0
1784735108.2850614,17421,17157,17735,17301,31183,0.0
1784735108.2955213,17416,17172,17735,17331,31263,0.0
1784735108.3054466,17406,17187,17746,17336,31362,0.0
1784735108.3152475,17406,17201,17761,17371,31479,0.0
1784735108.3256354,17376,17191,17761,17381,31611,0.0
1784735108.3355126,17361,17201,17714,17411,31757,0.0
1784735108.345261,17376,17201,17720,17431,31916,0.0
1784735108.3558593,17421,17191,17693,17391,32086,0.0
1784735108.365629,17406,17167,17683,17386,32263,0.0
1784735108.3752503,17406,17177,17673,17361,32446,0.0
1784735108.385136,17452,17182,17683,17331,32633,0.0
1784735108.3956451,17452,17177,17662,17341,32821,0.0
1784735108.404853,17467,17191,17704,17331,33009,0.0
1784735108.4158654,17513,17206,17693,17331,33192,0.0
1784735108.4256177,17574,17201,17725,17341,33368,0.0
1784735108.4356003,17657,17172,17725,17356,33535,0.0
